site_id,site_name,date_scraped,source_url
20,Ancient City of Damascus,2026-06-12,https://whc.unesco.org/en/danger-list/
21,Ancient City of Aleppo,2026-06-12,https://whc.unesco.org/en/danger-list/
22,Ancient City of Bosra,2026-06-12,https://whc.unesco.org/en/danger-list/
23,Site of Palmyra,2026-06-12,https://whc.unesco.org/en/danger-list/
63,Virunga National Park,2026-06-12,https://whc.unesco.org/en/danger-list/
76,Everglades National Park,2026-06-12,https://whc.unesco.org/en/danger-list/
116,Old Towns of Djenné,2026-06-12,https://whc.unesco.org/en/danger-list/
119,Timbuktu,2026-06-12,https://whc.unesco.org/en/danger-list/
135,Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,2026-06-12,https://whc.unesco.org/en/danger-list/
136,Garamba National Park,2026-06-12,https://whc.unesco.org/en/danger-list/
137,Kahuzi-Biega National Park,2026-06-12,https://whc.unesco.org/en/danger-list/
148,Old City of Jerusalem and its Walls,2026-06-12,https://whc.unesco.org/en/danger-list/
155,Mount Nimba Strict Nature Reserve,2026-06-12,https://whc.unesco.org/en/danger-list/
183,Archaeological Site of Leptis Magna,2026-06-12,https://whc.unesco.org/en/danger-list/
184,Archaeological Site of Sabratha,2026-06-12,https://whc.unesco.org/en/danger-list/
190,Archaeological Site of Cyrene,2026-06-12,https://whc.unesco.org/en/danger-list/
192,Old Walled City of Shibam,2026-06-12,https://whc.unesco.org/en/danger-list/
196,Río Plátano Biosphere Reserve,2026-06-12,https://whc.unesco.org/en/danger-list/
199,Selous Game Reserve,2026-06-12,https://whc.unesco.org/en/danger-list/
208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,2026-06-12,https://whc.unesco.org/en/danger-list/
211,Minaret and Archaeological Remains of Jam,2026-06-12,https://whc.unesco.org/en/danger-list/
276,Samarra Archaeological City,2026-06-12,https://whc.unesco.org/en/danger-list/
277,Hatra,2026-06-12,https://whc.unesco.org/en/danger-list/
287,Rock-Art Sites of Tadrart Acacus,2026-06-12,https://whc.unesco.org/en/danger-list/
366,Chan Chan Archaeological Zone,2026-06-12,https://whc.unesco.org/en/danger-list/
385,Old City of Sana'a,2026-06-12,https://whc.unesco.org/en/danger-list/
420,City of Potosí,2026-06-12,https://whc.unesco.org/en/danger-list/
475,Manovo-Gounda St Floris National Park,2026-06-12,https://whc.unesco.org/en/danger-list/
527,"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",2026-06-12,https://whc.unesco.org/en/danger-list/
573,Air and Ténéré Natural Reserves,2026-06-12,https://whc.unesco.org/en/danger-list/
611,Historic Town of Zabid,2026-06-12,https://whc.unesco.org/en/danger-list/
658,Coro and its Port,2026-06-12,https://whc.unesco.org/en/danger-list/
718,Okapi Wildlife Reserve,2026-06-12,https://whc.unesco.org/en/danger-list/
724,Medieval Monuments in Kosovo,2026-06-12,https://whc.unesco.org/en/danger-list/
801,Lake Turkana National Parks,2026-06-12,https://whc.unesco.org/en/danger-list/
854,East Rennell,2026-06-12,https://whc.unesco.org/en/danger-list/
865,L'viv – the Ensemble of the Historic Centre,2026-06-12,https://whc.unesco.org/en/danger-list/
885,Historic Centre of Shakhrisyabz,2026-06-12,https://whc.unesco.org/en/danger-list/
1033,Historic Centre of Vienna,2026-06-12,https://whc.unesco.org/en/danger-list/
1130,Ashur (Qal'at Sherqat),2026-06-12,https://whc.unesco.org/en/danger-list/
1139,Tomb of Askia,2026-06-12,https://whc.unesco.org/en/danger-list/
1167,Tropical Rainforest Heritage of Sumatra,2026-06-12,https://whc.unesco.org/en/danger-list/
1182,Islands and Protected Areas of the Gulf of California,2026-06-12,https://whc.unesco.org/en/danger-list/
1229,Crac des Chevaliers and Qal’at Salah El-Din,2026-06-12,https://whc.unesco.org/en/danger-list/
1348,Ancient Villages of Northern Syria,2026-06-12,https://whc.unesco.org/en/danger-list/
1492,"Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir",2026-06-12,https://whc.unesco.org/en/danger-list/
1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,2026-06-12,https://whc.unesco.org/en/danger-list/
1552,Roșia Montană Mining Landscape,2026-06-12,https://whc.unesco.org/en/danger-list/
1565,Hebron/Al-Khalil Old Town,2026-06-12,https://whc.unesco.org/en/danger-list/
1700,"Landmarks of the Ancient Kingdom of Saba, Marib",2026-06-12,https://whc.unesco.org/en/danger-list/
1702,Rachid Karami International Fair-Tripoli,2026-06-12,https://whc.unesco.org/en/danger-list/
1703,The Historic Centre of Odesa,2026-06-12,https://whc.unesco.org/en/danger-list/
1749,Saint Hilarion Monastery/ Tell Umm Amer,2026-06-12,https://whc.unesco.org/en/danger-list/
90,Abu Mena,2026-06-16,https://whc.unesco.org/en/danger-list/
